Feature Title,Feature Brief,Feature Group,Plugin,Feature Page,Feature Page URL
"Fixed-date subscriptions (cohorts, seasons, enrollment windows)","Ends subscriptions on a merchant-set calendar date and can restrict purchases to an enrollment window, supporting cohorts, seasons, and fixed-term memberships.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Recurring shipping charges on physical subscriptions,"Charges shipping only at signup or on every renewal, with separate initial and recurring overrides stored on the subscription for future orders.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Per-plan feature entitlements + 'What's included' on the product page,"Defines toggle, number, or text entitlements per product or variation and displays them in What's Included, My Features, and access rules.",Products & checkout,ArraySubs Pro,Define the features and entitlements behind every subscription plan,/product/arraysubs/features/feature-manager/
Drag-and-drop multi-step checkout builder with conditional fields,"Builds classic WooCommerce checkout flows with drag-and-drop steps, 28 elements, conditional fields, styling controls, and data copied into subscriptions and renewals.",Site access toolkit,ArraySubs Pro,Build a custom WooCommerce checkout for subscriptions,/product/arraysubs/features/checkout-builder/
"Hide first billing-cycle, shipping-charge & duration details in cart, checkout, mini-cart & emails","Suppresses selected first-cycle, shipping-charge, and duration details across cart, mini-cart, checkout, and emails while leaving billing calculations unchanged.",Site access toolkit,ArraySubs Pro,Build a custom WooCommerce checkout for subscriptions,/product/arraysubs/features/checkout-builder/
Redirect or 404 direct product URLs to a sales page,"Redirects direct product-page visits to a chosen sales page or returns 404, while preserving direct add-to-cart and checkout links.",Member experience,ArraySubs Pro,Build a custom WooCommerce checkout for subscriptions,/product/arraysubs/features/checkout-builder/
Customer-chosen subscription length and billing period at checkout,Lets buyers choose an allowed billing period and finite subscription length; server validation locks their selections into the resulting renewal schedule.,Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Customer-built subscription boxes (multi-step builder, one recurring price for the whole box)","Lets customers assemble a subscription box through configured steps, while ArraySubs calculates and freezes one recurring total for the complete selection.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Box step builder with product, category, text, choice & file-upload elements","Creates box steps containing product, category, text, choice, and upload elements with required controls, item limits, quantities, and server-side validation.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Box discount tiers by total value or item count, with free gifts and live 'unlock' hints","Applies fixed or percentage discounts and free gifts by box value or item count, showing live savings and next-tier unlock guidance.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
